molecule_chembl_id,canonical_smiles,standard_value
CHEMBL368648,COC(=O)c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,20000.0
CHEMBL178663,Oc1nc(-c2ccc(-c3ccccc3)cc2)nc2sc3c(c12)CCCC3,20000.0
CHEMBL179730,COc1cc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,2300.0
CHEMBL179692,Cc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,20000.0
CHEMBL179110,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCC4)cc1,2400.0
CHEMBL361956,COc1cc(OC)cc(-c2nc(O)c3c4c(sc3n2)CCCC4)c1,20000.0
CHEMBL179581,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1OC,20000.0
CHEMBL178310,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,2400.0
CHEMBL179178,CCOc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,8400.0
CHEMBL368233,O=C(c1cccs1)c1cnn2c(-c3cccc(NC(=O)C4CC4)c3)ccnc12,400.0
CHEMBL360687,Oc1nc(-c2ccc(Cl)cc2)nc2sc3c(c12)CCCC3,20000.0
CHEMBL360323,COc1cc(-c2nc(O)c3ccsc3n2)cc(OC)c1OC,20000.0
CHEMBL178149,CCN(CC)c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,20000.0
CHEMBL425866,COc1cc(-c2nc(O)c3c4c(sc3n2)CCC4)cc(OC)c1OC,3500.0
CHEMBL359861,COc1ccc(-c2nc(O)c3sccc3n2)cc1,20000.0
CHEMBL180572,COc1cc(-c2nc(O)c3sccc3n2)cc(OC)c1OC,20000.0
CHEMBL178907,O=[N+]([O-])c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,20000.0
CHEMBL179694,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)c(F)c1,680.0
CHEMBL359939,CC(C)Oc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,20000.0
CHEMBL179113,CCCCOc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,20000.0
