activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1418556,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL368648,,CHEMBL368648,,0,http://www.openphacts.org/units/Nanomolar,364662,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418557,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COC(=O)c1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL368648,,CHEMBL368648,,0,http://www.openphacts.org/units/Nanomolar,364662,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418559,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,Oc1nc(-c2ccc(-c3ccccc3)cc2)nc2sc3c(c12)CCCC3,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178663,,CHEMBL178663,,0,http://www.openphacts.org/units/Nanomolar,364663,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418560,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,Oc1nc(-c2ccc(-c3ccccc3)cc2)nc2sc3c(c12)CCCC3,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL178663,,CHEMBL178663,,0,http://www.openphacts.org/units/Nanomolar,364663,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418759,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179730,,CHEMBL179730,5.64,0,http://www.openphacts.org/units/Nanomolar,364730,=,1,1,=,,IC50,nM,,2300.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,2.3
,1418760,[],CHEMBL833768,Inhibitory concentration against human p21 deficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc(OC)c1OC,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179730,,CHEMBL179730,,0,http://www.openphacts.org/units/Nanomolar,364730,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418798,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179692,,CHEMBL179692,,0,http://www.openphacts.org/units/Nanomolar,364668,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418799,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(-c2nc(O)c3c4c(sc3n2)CCCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179692,,CHEMBL179692,,0,http://www.openphacts.org/units/Nanomolar,364668,>,1,1,>,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
,1418801,[],CHEMBL833769,Inhibitory concentration against p21 deficient cell (p21-/-) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179110,,CHEMBL179110,5.62,0,http://www.openphacts.org/units/Nanomolar,364569,=,1,1,=,,IC50,nM,,2400.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,2.4
,1418802,[],CHEMBL832970,Inhibitory concentration against human p21 proficient cell (p21+/+) proliferation,F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2nc(O)c3c4c(sc3n2)CCC4)cc1,,,CHEMBL1142782,Bioorg. Med. Chem. Lett.,2005.0,,CHEMBL179110,,CHEMBL179110,4.70,0,http://www.openphacts.org/units/Nanomolar,364569,=,1,1,=,,IC50,nM,,20000.0,CHEMBL5021,Homo sapiens,CDK-interacting protein 1,9606,,,IC50,uM,UO_0000065,,20.0
